notation,label,description,altLabel,source,seeAlso,related,note,iwxxmVersionInfo,URI,status
AIRFRAME_ICING,Airframe icing,Airframe icing,,,,http://codes.wmo.int/bufr4/codeflag/0-08-011/15,,2021-2;2023-1;2025-2,http://codes.wmo.int/49-2/MeteorologicalFeature/AIRFRAME_ICING,stable
INTERTROPICAL_FRONT,Intertropical front,Intertropical front,,,,http://codes.wmo.int/bufr4/codeflag/0-08-011/8,,2021-2;2023-1;2025-2,http://codes.wmo.int/49-2/MeteorologicalFeature/INTERTROPICAL_FRONT,stable
TURBULENCE,Turbulence,Turbulence,,,,http://codes.wmo.int/bufr4/codeflag/0-08-011/13,,2021-2;2023-1;2025-2,http://codes.wmo.int/49-2/MeteorologicalFeature/TURBULENCE,stable
PHENOMENON,Phenomenon,Phenomenon,,,,http://codes.wmo.int/bufr4/codeflag/0-08-011/16,,2021-2;2023-1;2025-2,http://codes.wmo.int/49-2/MeteorologicalFeature/PHENOMENON,stable
WARM_FRONT_ABOVE_THE_SURFACE,Warm front above the surface,Warm front above the surface,,,,http://codes.wmo.int/bufr4/codeflag/0-08-011/3,,2021-2;2023-1;2025-2,http://codes.wmo.int/49-2/MeteorologicalFeature/WARM_FRONT_ABOVE_THE_SURFACE,stable
QUASI-STATIONARY_FRONT_ABOVE_THE_SURFACE,Quasi-stationary front above the surface,Quasi-stationary front above the surface,,,,http://codes.wmo.int/bufr4/codeflag/0-08-011/1,,2021-2;2023-1;2025-2,http://codes.wmo.int/49-2/MeteorologicalFeature/QUASI-STATIONARY_FRONT_ABOVE_THE_SURFACE,stable
MOUNTAIN_WAVE,Mountain wave,Mountain wave,,,,http://codes.wmo.int/bufr4/codeflag/0-08-011/23,,2021-2;2023-1;2025-2,http://codes.wmo.int/49-2/MeteorologicalFeature/MOUNTAIN_WAVE,stable
WARM_FRONT_AT_THE_SURFACE,Warm front at the surface,Warm front at the surface,,,,http://codes.wmo.int/bufr4/codeflag/0-08-011/2,,2021-2;2023-1;2025-2,http://codes.wmo.int/49-2/MeteorologicalFeature/WARM_FRONT_AT_THE_SURFACE,stable
CLOUD_CLEAR,Cloud clear,Cloud clear,,,,http://codes.wmo.int/bufr4/codeflag/0-08-011/11,,2021-2;2023-1;2025-2,http://codes.wmo.int/49-2/MeteorologicalFeature/CLOUD_CLEAR,stable
COLD_FRONT_AT_THE_SURFACE,Cold front at the surface,Cold front at the surface,,,,http://codes.wmo.int/bufr4/codeflag/0-08-011/4,,2021-2;2023-1;2025-2,http://codes.wmo.int/49-2/MeteorologicalFeature/COLD_FRONT_AT_THE_SURFACE,stable
STORM,Storm,Storm,,,,http://codes.wmo.int/bufr4/codeflag/0-08-011/14,,2021-2;2023-1;2025-2,http://codes.wmo.int/49-2/MeteorologicalFeature/STORM,stable
SANDSTORM,Sandstorm,Sandstorm,,,,http://codes.wmo.int/bufr4/codeflag/0-08-011/25,,2021-2;2023-1;2025-2,http://codes.wmo.int/49-2/MeteorologicalFeature/SANDSTORM,stable
CLOUD,Cloud,Cloud,,,,http://codes.wmo.int/bufr4/codeflag/0-08-011/12,,2021-2;2023-1;2025-2,http://codes.wmo.int/49-2/MeteorologicalFeature/CLOUD,stable
TROPOPAUSE,Tropopause,Tropopause,,,,,,2021-2;2023-1;2025-2,http://codes.wmo.int/49-2/MeteorologicalFeature/TROPOPAUSE,stable
RADIATION,Radiation,Radiation,,,,,,2021-2;2023-1;2025-2,http://codes.wmo.int/49-2/MeteorologicalFeature/RADIATION,stable
VOLCANIC_ASH,Volcanic Ash,Volcanic Ash,,,,,,2025-2,http://codes.wmo.int/49-2/MeteorologicalFeature/VOLCANIC_ASH,experimental
