notation,label,description,altLabel,source,seeAlso,related,note,iwxxmVersionInfo,URI,status
-DZRAPL,"Light precipitation of drizzle, rain and ice pellets","Light precipitation of drizzle, rain and ice pellets",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-DZRAPL,stable
-DZRASG,"Light precipitation of drizzle, rain and snow grains","Light precipitation of drizzle, rain and snow grains",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-DZRASG,stable
-DZRASN,"Light precipitation of drizzle, rain and snow","Light precipitation of drizzle, rain and snow",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-DZRASN,stable
-DZSG,Light precipitation of drizzle and snow grains,Light precipitation of drizzle and snow grains,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-DZSG,stable
-DZSGRA,"Light precipitation of drizzle, snow grains and rain","Light precipitation of drizzle, snow grains and rain",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-DZSGRA,stable
-DZSN,Light precipitation of drizzle and snow,Light precipitation of drizzle and snow,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-DZSN,stable
-DZSNRA,"Light precipitation of drizzle, snow and rain","Light precipitation of drizzle, snow and rain",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-DZSNRA,stable
-FZDZ,Light precipitation of freezing drizzle,Light precipitation of freezing drizzle,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-FZDZ,stable
-FZDZRA,Light precipitation of freezing drizzle and rain,Light precipitation of freezing drizzle and rain,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-FZDZRA,stable
-FZRA,Light precipitation of freezng rain,Light precipitation of freezng rain,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-FZRA,stable
-FZRADZ,Light precipitation of freezing rain and drizzle,Light precipitation of freezing rain and drizzle,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-FZRADZ,stable
-FZUP,Light unidentified freezing precipitation,Light unidentified freezing precipitation,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-FZUP,stable
-PL,Light precipitation of ice pellets,Light precipitation of ice pellets,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-PL,stable
-PLDZ,Light precipitation of ice pellets and drizzle,Light precipitation of ice pellets and drizzle,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-PLDZ,stable
-PLDZRA,"Light precipitation of ice pellets, drizzle and rain","Light precipitation of ice pellets, drizzle and rain",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-PLDZRA,stable
-PLRA,Light precipitation of ice pellets and rain,Light precipitation of ice pellets and rain,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-PLRA,stable
-PLRADZ,"Light precipitation of ice pellets, rain and drizzle","Light precipitation of ice pellets, rain and drizzle",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-PLRADZ,stable
-PLRASN,"Light precipitation of ice pellets, rain and snow","Light precipitation of ice pellets, rain and snow",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-PLRASN,stable
-PLSG,Light precipitation of ice pellets and snow grains,Light precipitation of ice pellets and snow grains,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-PLSG,stable
-PLSGSN,"Light precipitation of ice pellets, snow grains and snow","Light precipitation of ice pellets, snow grains and snow",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-PLSGSN,stable
-PLSN,Light precipitation of ice pellets and snow,Light precipitation of ice pellets and snow,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-PLSN,stable
-PLSNRA,"Light precipitation of ice pellets, snow and rain","Light precipitation of ice pellets, snow and rain",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-PLSNRA,stable
-PLSNSG,"Light precipitation of ice pellets, snow and snow grains","Light precipitation of ice pellets, snow and snow grains",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-PLSNSG,stable
-RA,Light precipitation of rain,Light precipitation of rain,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-RA,stable
-RADZ,Light precipitation of rain and drizzle,Light precipitation of rain and drizzle,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-RADZ,stable
-RADZPL,"Light precipitation of rain, drizzle and ice pellets","Light precipitation of rain, drizzle and ice pellets",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-RADZPL,stable
-RADZSG,"Light precipitation of rain, drizzle and snow grains","Light precipitation of rain, drizzle and snow grains",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-RADZSG,stable
-RADZSN,"Light precipitation of rain, drizzle and snow","Light precipitation of rain, drizzle and snow",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-RADZSN,stable
-RAPL,Light precipitation of rain and ice pellets,Light precipitation of rain and ice pellets,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-RAPL,stable
-RAPLDZ,"Light precipitation of rain, ice pellets and drizzle","Light precipitation of rain, ice pellets and drizzle",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-RAPLDZ,stable
-RAPLSN,"Light precipitation of rain, ice pellets and snow","Light precipitation of rain, ice pellets and snow",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-RAPLSN,stable
-RASG,Light precipitation of rain and snow grains,Light precipitation of rain and snow grains,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-RASG,stable
-RASGDZ,"Light precipitation of rain, snow grains and drizzle","Light precipitation of rain, snow grains and drizzle",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-RASGDZ,stable
-RASGSN,"Light precipitation of rain, snow grains and snow","Light precipitation of rain, snow grains and snow",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-RASGSN,stable
-RASN,Light precipitation of rain and snow,Light precipitation of rain and snow,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-RASN,stable
-RASNDZ,"Light precipitation of rain, snow and drizzle","Light precipitation of rain, snow and drizzle",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-RASNDZ,stable
-RASNPL,"Light precipitation of rain, snow and ice pellets","Light precipitation of rain, snow and ice pellets",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-RASNPL,stable
-RASNSG,"Light precipitation of rain, snow and snow grains","Light precipitation of rain, snow and snow grains",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-RASNSG,stable
-SG,Light precipitation of snow grains,Light precipitation of snow grains,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-SG,stable
-SGDZ,Light precipitation of snow grains and drizzle,Light precipitation of snow grains and drizzle,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-SGDZ,stable
-SGDZRA,"Light precipitation of snow grains, drizzle and rain","Light precipitation of snow grains, drizzle and rain",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-SGDZRA,stable
-SGPL,Light precipitation of snow grains and ice pellets,Light precipitation of snow grains and ice pellets,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-SGPL,stable
-SGPLSN,"Light precipitation of snow grains, ice pellets and snow","Light precipitation of snow grains, ice pellets and snow",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-SGPLSN,stable
-SGRA,Light precipitation of snow grains and rain,Light precipitation of snow grains and rain,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-SGRA,stable
-SGRADZ,"Light precipitation of snow grains, rain and drizzle","Light precipitation of snow grains, rain and drizzle",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-SGRADZ,stable
-SGRASN,"Light precipitation of snow grains, rain and snow","Light precipitation of snow grains, rain and snow",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-SGRASN,stable
-SGSN,Light precipitation of snow grains and snow,Light precipitation of snow grains and snow,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-SGSN,stable
-SGSNPL,"Light precipitation of snow grains, snow and ice pellets","Light precipitation of snow grains, snow and ice pellets",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-SGSNPL,stable
-SGSNRA,"Light precipitation of snow grains, snow and rain","Light precipitation of snow grains, snow and rain",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-SGSNRA,stable
-SHGR,Light showery precipitation of hail,Light showery precipitation of hail,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-SHGR,stable
-SHGRRA,Light showery precipitation of hail and rain,Light showery precipitation of hail and rain,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-SHGRRA,stable
-SHGRRASN,"Light showery precipitation of hail, rain and snow","Light showery precipitation of hail, rain and snow",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-SHGRRASN,stable
-SHGRSN,Light showery precipitation of hail and snow,Light showery precipitation of hail and snow,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-SHGRSN,stable
-SHGRSNRA,"Light showery precipitation of hail, snow and rain","Light showery precipitation of hail, snow and rain",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-SHGRSNRA,stable
-SHGS,Light showery precipitation of snow pellets/small hail,Light showery precipitation of snow pellets/small hail,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-SHGS,stable
-SHGSRA,Light showery precipitation of snow pellets/small hail and rain,Light showery precipitation of snow pellets/small hail and rain,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-SHGSRA,stable
-SHGSRASN,"Light showery precipitation of snow pellets/small hail, rain and snow","Light showery precipitation of snow pellets/small hail, rain and snow",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-SHGSRASN,stable
-SHGSSN,Light showery precipitation of snow pellets/small hail and snow,Light showery precipitation of snow pellets/small hail and snow,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-SHGSSN,stable
-SHGSSNRA,"Light showery precipitation of snow pellets/small hail, snow and rain","Light showery precipitation of snow pellets/small hail, snow and rain",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-SHGSSNRA,stable
-SHRA,Light showery precipitation of rain,Light showery precipitation of rain,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-SHRA,stable
-SHRAGR,Light showery precipitation of rain and hail,Light showery precipitation of rain and hail,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-SHRAGR,stable
-SHRAGRSN,"Light showery precipitation of rain, hail and snow","Light showery precipitation of rain, hail and snow",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-SHRAGRSN,stable
-SHRAGS,Light showery precipitation of rain and snow pellets/small hail,Light showery precipitation of rain and snow pellets/small hail,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-SHRAGS,stable
-SHRAGSSN,"Light showery precipitation of rain, snow pellets/small hail and snow","Light showery precipitation of rain, snow pellets/small hail and snow",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-SHRAGSSN,stable
-SHRASN,Light showery precipitation of rain and snow,Light showery precipitation of rain and snow,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-SHRASN,stable
-SHRASNGR,"Light showery precipitation of rain, snow and hail","Light showery precipitation of rain, snow and hail",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-SHRASNGR,stable
-SHRASNGS,"Light showery precipitation of rain, snow and snow pellets/small hail","Light showery precipitation of rain, snow and snow pellets/small hail",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-SHRASNGS,stable
-SHSN,Light showery precipitation of snow,Light showery precipitation of snow,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-SHSN,stable
-SHSNGR,Light showery precipitation of snow and hail,Light showery precipitation of snow and hail,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-SHSNGR,stable
-SHSNGRRA,"Light showery precipitation of snow, hail and rain","Light showery precipitation of snow, hail and rain",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-SHSNGRRA,stable
-SHSNGS,Light showery precipitation of snow and snow pellets/small hail,Light showery precipitation of snow and snow pellets/small hail,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-SHSNGS,stable
-SHSNGSRA,"Light showery precipitation of snow, snow pellets/small hail and rain","Light showery precipitation of snow, snow pellets/small hail and rain",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-SHSNGSRA,stable
-SHSNRA,Light showery precipitation of snow and rain,Light showery precipitation of snow and rain,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-SHSNRA,stable
-SHSNRAGR,"Light showery precipitation of snow, rain and hail","Light showery precipitation of snow, rain and hail",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-SHSNRAGR,stable
-SHSNRAGS,"Light showery precipitation of snow, rain and snow pellets/small hail","Light showery precipitation of snow, rain and snow pellets/small hail",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-SHSNRAGS,stable
-SHUP,Light unidentified showery precipitation,Light unidentified showery precipitation,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-SHUP,stable
-SN,Light precipitation of snow,Light precipitation of snow,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-SN,stable
-SNDZ,Light precipitation of snow and drizzle,Light precipitation of snow and drizzle,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-SNDZ,stable
-SNDZRA,"Light precipitation of snow, drizzle and rain","Light precipitation of snow, drizzle and rain",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-SNDZRA,stable
-SNPL,Light precipitation of snow and ice pellets,Light precipitation of snow and ice pellets,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-SNPL,stable
-SNPLRA,"Light precipitation of snow, ice pellets and rain","Light precipitation of snow, ice pellets and rain",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-SNPLRA,stable
-SNPLSG,"Light precipitation of snow, ice pellets and snow grains","Light precipitation of snow, ice pellets and snow grains",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-SNPLSG,stable
-SNRA,Light precipitation of snow and rain,Light precipitation of snow and rain,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-SNRA,stable
-SNRADZ,"Light precipitation of snow, rain and drizzle","Light precipitation of snow, rain and drizzle",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-SNRADZ,stable
-SNRAPL,"Light precipitation of snow, rain and ice pellets","Light precipitation of snow, rain and ice pellets",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-SNRAPL,stable
-SNRASG,"Light precipitation of snow, rain and snow grains","Light precipitation of snow, rain and snow grains",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-SNRASG,stable
-SNSG,Light precipitation of snow and snow grains,Light precipitation of snow and snow grains,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-SNSG,stable
-SNSGPL,"Light precipitation of snow, snow grains and ice pellets","Light precipitation of snow, snow grains and ice pellets",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-SNSGPL,stable
-SNSGRA,"Light precipitation of snow, snow grains and rain","Light precipitation of snow, snow grains and rain",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-SNSGRA,stable
-SS,Light sandstorm,Light sandstorm,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-SS,stable
-TSGR,Thunderstorm with light precipitation of hail,Thunderstorm with light precipitation of hail,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-TSGR,stable
-TSGRRA,Thunderstorm with light precipitation of hail and rain,Thunderstorm with light precipitation of hail and rain,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-TSGRRA,stable
-TSGRRASN,"Thunderstorm with light precipitation of hail, rain and snow","Thunderstorm with light precipitation of hail, rain and snow",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-TSGRRASN,stable
-TSGRSN,Thunderstorm with light precipitation of hail and snow,Thunderstorm with light precipitation of hail and snow,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-TSGRSN,stable
-TSGRSNRA,"Thunderstorm with light precipitation of hail, snow and rain","Thunderstorm with light precipitation of hail, snow and rain",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-TSGRSNRA,stable
-TSGS,Thunderstorm with light precipitation of snow pellets/small hail,Thunderstorm with light precipitation of snow pellets/small hail,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-TSGS,stable
-TSGSRA,Thunderstorm with light precipitation of snow pellets/small hail and rain,Thunderstorm with light precipitation of snow pellets/small hail and rain,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-TSGSRA,stable
-TSGSRASN,"Thunderstorm with light precipitation of snow pellets/small hail, rain and snow","Thunderstorm with light precipitation of snow pellets/small hail, rain and snow",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-TSGSRASN,stable
-TSGSSN,Thunderstorm with light precipitation of snow pellets/small hail and snow,Thunderstorm with light precipitation of snow pellets/small hail and snow,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-TSGSSN,stable
-TSGSSNRA,"Thunderstorm with light precipitation of snow pellets/small hail, snow and rain","Thunderstorm with light precipitation of snow pellets/small hail, snow and rain",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-TSGSSNRA,stable
-TSRA,Thunderstorm with light precipitation of rain,Thunderstorm with light precipitation of rain,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-TSRA,stable
-TSRAGR,Thunderstorm with light precipitation of rain and hail,Thunderstorm with light precipitation of rain and hail,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-TSRAGR,stable
-TSRAGRSN,"Thunderstorm with light precipitation of rain, hail and snow","Thunderstorm with light precipitation of rain, hail and snow",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-TSRAGRSN,stable
-TSRAGS,Thunderstorm with light precipitation of rain and snow pellets/small hail,Thunderstorm with light precipitation of rain and snow pellets/small hail,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-TSRAGS,stable
-TSRAGSSN,"Thunderstorm with light precipitation of rain, snow pellets/small hail and snow","Thunderstorm with light precipitation of rain, snow pellets/small hail and snow",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-TSRAGSSN,stable
-TSRASN,Thunderstorm with light precipitation of rain and snow,Thunderstorm with light precipitation of rain and snow,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-TSRASN,stable
-TSRASNGR,"Thunderstorm with light precipitation of rain, snow and hail","Thunderstorm with light precipitation of rain, snow and hail",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-TSRASNGR,stable
-TSRASNGS,"Thunderstorm with light precipitation of rain, snow and snow pellets/small hail","Thunderstorm with light precipitation of rain, snow and snow pellets/small hail",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-TSRASNGS,stable
-TSSN,Thunderstorm with light precipitation of snow,Thunderstorm with light precipitation of snow,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-TSSN,stable
-TSSNGR,Thunderstorm with light precipitation of snow and hail,Thunderstorm with light precipitation of snow and hail,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-TSSNGR,stable
-TSSNGRRA,"Thunderstorm with light precipitation of snow, hail and rain","Thunderstorm with light precipitation of snow, hail and rain",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-TSSNGRRA,stable
-TSSNGS,Thunderstorm with light precipitation of snow and snow pellets/small hail,Thunderstorm with light precipitation of snow and snow pellets/small hail,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-TSSNGS,stable
-TSSNGSRA,"Thunderstorm with light precipitation of snow, snow pellets/small hail and rain","Thunderstorm with light precipitation of snow, snow pellets/small hail and rain",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-TSSNGSRA,stable
-TSSNRA,Thunderstorm with light precipitation of snow and rain,Thunderstorm with light precipitation of snow and rain,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-TSSNRA,stable
-TSSNRAGR,"Thunderstorm with light precipitation of snow, rain and hail","Thunderstorm with light precipitation of snow, rain and hail",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-TSSNRAGR,stable
-TSSNRAGS,"Thunderstorm with light precipitation of snow, rain and snow pellets/small hail","Thunderstorm with light precipitation of snow, rain and snow pellets/small hail",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-TSSNRAGS,stable
-TSUP,Thunderstorm with light unidentified precipitation,Thunderstorm with light unidentified precipitation,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-TSUP,stable
-UP,Light unidentified precipitation,Light unidentified precipitation,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/-UP,stable
BCFG,Patches of fog,Patches of fog,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/BCFG,stable
BLDU,Blowing dust,Blowing dust,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/BLDU,stable
BLSA,Blowing sand,Blowing sand,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/BLSA,stable
BLSN,Blowing snow,Blowing snow,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/BLSN,stable
BR,Mist,Mist,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/BR,stable
DRDU,Low drifting dust,Low drifting dust,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/DRDU,stable
DRSA,Low drifting sand,Low drifting sand,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/DRSA,stable
DRSN,Low drifting snow,Low drifting snow,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/DRSN,stable
DS,Duststorm,Duststorm,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/DS,stable
DU,Dust,Dust,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/DU,stable
DZ,Precipitation of drizzle,Precipitation of drizzle,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/DZ,stable
DZPL,Precipitation of drizzle and ice pellets,Precipitation of drizzle and ice pellets,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/DZPL,stable
DZPLRA,"Precipitation of drizzle, ice pellets and rain","Precipitation of drizzle, ice pellets and rain",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/DZPLRA,stable
DZRA,Precipitation of drizzle and rain,Precipitation of drizzle and rain,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/DZRA,stable
DZRAPL,"Precipitation of drizzle, rain and ice pellets","Precipitation of drizzle, rain and ice pellets",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/DZRAPL,stable
DZRASG,"Precipitation of drizzle, rain and snow grains","Precipitation of drizzle, rain and snow grains",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/DZRASG,stable
DZRASN,"Precipitation of drizzle, rain and snow","Precipitation of drizzle, rain and snow",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/DZRASN,stable
DZSG,Precipitation of drizzle and snow grains,Precipitation of drizzle and snow grains,,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/DZSG,stable
DZSGRA,"Precipitation of drizzle, snow grains and rain","Precipitation of drizzle, snow grains and rain",,,,,,1.1;2.1;3.0;2021-2;2023-1;2025-2,http://codes.wmo.int/306/4678/DZSGRA,stable
